"_table_name","_emited_at","_normalized_at","custom_interaction","terms","__productName","is_active","included_fields","__clientName","title","is_economic","test_field","resource_uri","interaction_type","interaction_type_id","service_title","in_service_id","in_service_id_for_stat","goal_id","access"
silos_internal._airbyte_raw_alytics_11222_testtemplate_project_goals,"2023-07-14 01:33:25.609 +0000","2023-07-19 19:20:10.000","",[],"",false,"","",Бронирование,false,"",/api/v1/goal/1061266/,notset,"0",Коллтрекинг Alytics,"11210","11210","1061266",/api/v1/calltracking/167407/
silos_internal._airbyte_raw_alytics_11222_testtemplate_project_goals,"2023-07-14 01:33:25.654 +0000","2023-07-19 19:20:10.000","",[],"",false,"","",Вход через Фейсбук,false,"",/api/v1/goal/642443/,model_linear,"6",Google Analytics,"17","17","642443",/api/v1/goals_provider/167385/
